NEEDS_FIXING,PRONOUNCE,SYLLABARY
*,hisg ale sóhně:l niga:ʔd ǐ:g.,ᎯᏍg ᎠᎴ ᏐᏁꮅ ᏂᎦd Ꭲg.
*,hisg ana̋:ta à:né:ga.,ᎯᏍg ᎠᎾᏔ ᎠᏁᎦ.
*,hisg do:ya,ᎯᏍg ᏙᏯ
*,hisg.,ᎯᏍg.
,hisgi ale sóhně:la niga:ʔdu ǐ:gi.,ᎯᏍᎩ ᎠᎴ ᏐᏁᎳ ᏂᎦᏚ ᎢᎩ.
,hisgi do:ya,ᎯᏍᎩ ᏙᏯ
,hisgi.,ᎯᏍᎩ.
,hisgi:ne̋ agě:hya,ᎯᏍᎩᏁ ᎠᎨᏯ
,hisgi:ne̋.,ᎯᏍᎩᏁ.
,hisgi:ne̋:ʔi agě:hya,ᎯᏍᎩᏁᎢ ᎠᎨᏯ
,hisgi:ne̋:ʔi.,ᎯᏍᎩᏁᎢ.
,hisgine̋ jalagi go:hwe:lv:ʔi.,ᎯᏍᎩᏁ ᏣᎳᎩ ᎪᏪᎸᎢ.
,hisgine̋:ʔi jalagi go:hwe:lv:ʔi.,ᎯᏍᎩᏁᎢ ᏣᎳᎩ ᎪᏪᎸᎢ.
,hitade:gv̀,ᎯᏔᏕᎬ
,hitade:gv̀:ga,ᎯᏔᏕᎬᎦ
,hitade:gv̀:gā,ᎯᏔᏕᎬᎦ
,hiwó:ni.,ᎯᏬᏂ.
,hiwó:niha.,ᎯᏬᏂᎭ.
,hiwó:niʔa.,ᎯᏬᏂᎠ.
,hiʔa,ᎯᎠ
,hiʔa ahu:li gǐ:ge.,ᎯᎠ ᎠᎱᎵ ᎩᎨ.
,hiʔa ahu:li gǐ:gáge.,ᎯᎠ ᎠᎱᎵ ᎩᎦᎨ.
*,hiʔa kó:g sě:lu ga̋:du u:du:lí.,ᎯᎠ Ꭺg ᏎᎷ ᎦᏚ ᎤᏚᎵ.
*,hiʔa kó:g.,ᎯᎠ Ꭺg.
,hiʔa kó:ga sě:lu ga̋:du u:du:líha.,ᎯᎠ ᎪᎦ ᏎᎷ ᎦᏚ ᎤᏚᎵᎭ.
,hiʔa kó:ga sě:lu ga̋:du u:du:líʔa.,ᎯᎠ ᎪᎦ ᏎᎷ ᎦᏚ ᎤᏚᎵᎠ.
,hiʔa kó:ga.,ᎯᎠ ᎪᎦ.
,hiʔa kó:gi.,ᎯᎠ ᎪᎩ.
*,hiʔa sà:gwű u:yő ji:sd.,ᎯᎠ ᏌᏊ ᎤᏲ ᏥᏍd.
,hiʔa sà:gwű u:yő ji:sdu.,ᎯᎠ ᏌᏊ ᎤᏲ ᏥᏍᏚ.
,hiʔa u:yő,ᎯᎠ ᎤᏲ
,hiʔa.,ᎯᎠ.
,hiʔagwu.,ᎯᎠᏊ.
,hiʔaju.,ᎯᎠᏧ.
,hiʔana?,ᎯᎠᎾ?
*,hiʔas ő:sd sǒ:gwíl?,ᎯᎠᏍ ᎣᏍd ᏐᏈꮅ?
,hiʔas?,ᎯᎠᏍ?
,hiʔasgo ő:sda sǒ:gwíli?,ᎯᎠᏍᎪ ᎣᏍᏓ ᏐᏈᎵ?
,hiʔasgo?,ᎯᎠᏍᎪ?
*,hiʔi kó:g.,ᎯᎢ Ꭺg.
,hiʔi kó:ga.,ᎯᎢ ᎪᎦ.
,hiʔi kó:gi.,ᎯᎢ ᎪᎩ.
,hiʔi.,ᎯᎢ.
,hiʔigwu.,ᎯᎢᏊ.
,hiʔiju.,ᎯᎢᏧ.
,hiʔina?,ᎯᎢᎾ?
*,hiʔis ő:sd sǒ:gwíl?,ᎯᎢᏍ ᎣᏍd ᏐᏈꮅ?
,hiʔis?,ᎯᎢᏍ?
,hiʔisgo?,ᎯᎢᏍᎪ?
,hiʔv̀:si ajv̋sdi.,ᎯᎥᏏ ᎠᏨᏍᏗ.
,hiʔv̀:si ajv̋sdohdi.,ᎯᎥᏏ ᎠᏨᏍᏙᏗ.
,hla,Ꮭ
*,hla achű:ja yagigowhtíha.,Ꮭ ᎠᏧᏣ ᏯᎩᎪwᏘᎭ.
*,hla agě:hya yi̋:g. asgai.,Ꮭ ᎠᎨᏯ Ᏹg. ᎠᏍᎦᎢ.
,hla agě:hya yi̋:gi. asgaya.,Ꮭ ᎠᎨᏯ ᏱᎩ. ᎠᏍᎦᏯ.
,hla ahwi yida:giká,Ꮭ ᎠᏫ ᏱᏓᎩᎧ
,hla ahwi yida:giká.,Ꮭ ᎠᏫ ᏱᏓᎩᎧ.
*,hla ani:ge:hyű:j yigv:gigowhtí,Ꮭ ᎠᏂᎨᏳj ᏱᎬᎩᎪwᏘ
*,hla ani:ge:hyű:j yigv:gigowhtí.,Ꮭ ᎠᏂᎨᏳj ᏱᎬᎩᎪwᏘ.
*,hla asgai yi̋:g. agě:hya.,Ꮭ ᎠᏍᎦᎢ Ᏹg. ᎠᎨᏯ.
,hla asgaya yi̋:gi. agě:hya.,Ꮭ ᎠᏍᎦᏯ ᏱᎩ. ᎠᎨᏯ.
*,hla di:sadv́:d yidǔ:ha,Ꮭ ᏗᏌᏛd ᏱᏚᎭ
,hla do:ya yidi:jaká,Ꮭ ᏙᏯ ᏱᏗᏣᎧ
,hla do:ya yidi:jaká.,Ꮭ ᏙᏯ ᏱᏗᏣᎧ.
,hla do:ya yà:gikáha,Ꮭ ᏙᏯ ᏯᎩᎧᎭ
,hla do:ya yà:gikáha.,Ꮭ ᏙᏯ ᏯᎩᎧᎭ.
,hla gi:hli yidù:wa:ká,Ꮭ ᎩᏟ ᏱᏚᏩᎧ
,hla gi:hli yidù:wa:ká.,Ꮭ ᎩᏟ ᏱᏚᏩᎧ.
*,hla gi:hli yi̋:g. wě:s.,Ꮭ ᎩᏟ Ᏹg. ᏪᏍ.
,hla gi:hli yi̋:gi. wě:sa.,Ꮭ ᎩᏟ ᏱᎩ. ᏪᏌ.
,hla gi:hli yù:wa:káha,Ꮭ ᎩᏟ ᏳᏩᎧᎭ
,hla gi:hli yù:wa:káha.,Ꮭ ᎩᏟ ᏳᏩᎧᎭ.
*,hla go:hű:sd,Ꮭ ᎪᎱᏍd
,hla go:hű:sdi,Ꮭ ᎪᎱᏍᏗ
*,hla goːhweːl só yùnhta.,Ꮭ ᎪᏪꮅ Ꮠ ᏳnᏔ.
*,hla goːhweːli sóʔi yùnhta.,Ꮭ ᎪᏪᎵ ᏐᎢ ᏳnᏔ.
,hla gu:le yǔ:ha,Ꮭ ᎫᎴ ᏳᎭ
*,hla gùːgu juːnéːgihld yigaːdí,Ꮭ ᎫᎫ ᏧᏁᎩꮅd ᏱᎦᏗ
*,hla gő:sd,Ꮭ ᎪᏍd
,hla gő:sdi,Ꮭ ᎪᏍᏗ
,hla gǐːge̋ gùːgu gǎːtíːyő yiːgèːsé.,Ꮭ ᎩᎨ ᎫᎫ ᎦᏘᏲ ᏱᎨᏎ.
,hla gǐːgáge̋ gùːgu gǎːtíːyőːʔi yiːgèːsé.,Ꮭ ᎩᎦᎨ ᎫᎫ ᎦᏘᏲᎢ ᏱᎨᏎ.
,hla ji:sdu yijakáha,Ꮭ ᏥᏍᏚ ᏱᏣᎧᎭ
,hla ji:sdu yijakáha.,Ꮭ ᏥᏍᏚ ᏱᏣᎧᎭ.
,hla juːnoːdű wěːs gǎːtíːyő yiːgèːsé.,Ꮭ ᏧᏃᏚ ᏪᏍ ᎦᏘᏲ ᏱᎨᏎ.
,hla juːnoːdűːhi wěːsa gǎːtíːyőːʔi yiːgèːséːʔi.,Ꮭ ᏧᏃᏚᎯ ᏪᏌ ᎦᏘᏲᎢ ᏱᎨᏎᎢ.
*,hla na di:sadv́:d yidǔ:ha.,Ꮭ Ꮎ ᏗᏌᏛd ᏱᏚᎭ.
,hla na gu:le yǔ:ha.,Ꮭ Ꮎ ᎫᎴ ᏳᎭ.
,hla nv̀:ya yijaha,Ꮭ ᏅᏯ ᏱᏣᎭ
,hla nv̀:ya yijaha.,Ꮭ ᏅᏯ ᏱᏣᎭ.
*,hla nv̀ːya juːnéːgihld yigaːdí.,Ꮭ ᏅᏯ ᏧᏁᎩꮅd ᏱᎦᏗ.
,hla nv̀ːya juːnéːgihldi yigaːdía.,Ꮭ ᏅᏯ ᏧᏁᎩꮅᏗ ᏱᎦᏗᎠ.
*,hla nà:sgi yiji:gowhtí,Ꮭ ᎾᏍᎩ ᏱᏥᎪwᏘ
,hla nǔ:na yà:giha,Ꮭ ᏄᎾ ᏯᎩᎭ
,hla nǔ:na yà:giha.,Ꮭ ᏄᎾ ᏯᎩᎭ.
,hla sadv́:di yù:nǐ:ha,Ꮭ ᏌᏛᏗ ᏳᏂᎭ
,hla sadv́:di yù:nǐ:ha.,Ꮭ ᏌᏛᏗ ᏳᏂᎭ.
,hla sakǒːníge̋ ùːsgǒːlv̋ gùːgu soʔǐːyi yi̋ːgi.,Ꮭ ᏌᎪᏂᎨ ᎤᏍᎪᎸ ᎫᎫ ᏐᎢᏱ ᏱᎩ.
*,hla salǒ:l yige:jagowhtí,Ꮭ ᏌᎶꮅ ᏱᎨᏣᎪwᏘ
*,hla salǒ:l yige:jagowhtí.,Ꮭ ᏌᎶꮅ ᏱᎨᏣᎪwᏘ.
,hla salǒːl uwoːdű yàːdiha.,Ꮭ ᏌᎶꮅ ᎤᏬᏚ ᏯᏗᎭ.
,hla salǒːli uwoːdűːhi yàːdiha.,Ꮭ ᏌᎶᎵ ᎤᏬᏚᎯ ᏯᏗᎭ.
*,hla sgina yiji:gowhtí,Ꮭ ᏍᎩᎾ ᏱᏥᎪwᏘ
*,hla só ahwi soʔǐːyi yi̋ːg.,Ꮭ Ꮠ ᎠᏫ ᏐᎢᏱ Ᏹg.
,hla sóʔi ahawi soʔǐːyi yi̋ːgi.,Ꮭ ᏐᎢ ᎠᎭᏫ ᏐᎢᏱ ᏱᎩ.
*,hla tò:hi̋ yi̋g.,Ꮭ ᏙᎯ Ᏹg.
,hla tò:hi̋ yi̋gi.,Ꮭ ᏙᎯ ᏱᎩ.
*,hla v̀:sgi yiji:gowhtí,Ꮭ ᎥᏍᎩ ᏱᏥᎪwᏘ
*,hla v̀:sgina yiji:gowhtí,Ꮭ ᎥᏍᎩᎾ ᏱᏥᎪwᏘ
,hla wě:s yidù:ni:ká,Ꮭ ᏪᏍ ᏱᏚᏂᎧ
,hla wě:sa yidù:ni:ká.,Ꮭ ᏪᏌ ᏱᏚᏂᎧ.
,hla wě:sa yù:ni:káha,Ꮭ ᏪᏌ ᏳᏂᎧᎭ
,hla wě:sa yù:ni:káha.,Ꮭ ᏪᏌ ᏳᏂᎧᎭ.
*,hla yagigowhtíha na achű:ja.,Ꮭ ᏯᎩᎪwᏘᎭ Ꮎ ᎠᏧᏣ.
,hla yidi:jaká do:ya.,Ꮭ ᏱᏗᏣᎧ ᏙᏯ.
*,hla yijagowhtíha na yǒ:na.,Ꮭ ᏱᏣᎪwᏘᎭ Ꮎ ᏲᎾ.
,hla yijaha na nv̀:ya.,Ꮭ ᏱᏣᎭ Ꮎ ᏅᏯ.
,hla yijakáha ji:sdu.,Ꮭ ᏱᏣᎧᎭ ᏥᏍᏚ.
*,hla yiji:gowhtíha,Ꮭ ᏱᏥᎪwᏘᎭ
,hla yà:giha na nǔ:na.,Ꮭ ᏯᎩᎭ Ꮎ ᏄᎾ.
,hla yà:gikáha do:ya.,Ꮭ ᏯᎩᎧᎭ ᏙᏯ.
,hla yù:ni:káha wě:sa.,Ꮭ ᏳᏂᎧᎭ ᏪᏌ.
,hla yù:nǐ:ha na sadv́:di.,Ꮭ ᏳᏂᎭ Ꮎ ᏌᏛᏗ.
,hla yù:wa:káha gi:hli.,Ꮭ ᏳᏩᎧᎭ ᎩᏟ.
*,hla yǒ:n áhni yi̋:g,Ꮭ Ᏺn ᎠᏂ Ᏹg
*,hla yǒ:na yijagowhtíha,Ꮭ ᏲᎾ ᏱᏣᎪwᏘᎭ
*,hla yǒ:na yijagowhtíha.,Ꮭ ᏲᎾ ᏱᏣᎪwᏘᎭ.
,hla yǔ:ha na gu:le.,Ꮭ ᏳᎭ Ꮎ ᎫᎴ.
*,hla áhni yi̋:g,Ꮭ ᎠᏂ Ᏹg
*,hla ő:sd yi̋:g,Ꮭ ᎣᏍd Ᏹg
*,hla ő:sd yi̋g.,Ꮭ ᎣᏍd Ᏹg.
*,hla ő:sd yi̋gi.,Ꮭ ᎣᏍd ᏱᎩ.
,hla.,Ꮭ.
,hla:ʔhv.,ᏝᎲ.
,hlahv tò:hi̋ yi̋gi.,ᏝᎲ ᏙᎯ ᏱᎩ.
*,hlahv ő:sd yi̋gi.,ᏝᎲ ᎣᏍd ᏱᎩ.
,hlaju wahaya yi̋:gi,ᏝᏧ ᏩᎭᏯ ᏱᎩ
*,hlaju wahya yi̋:g?,ᏝᏧ ᏩᏯ Ᏹg?
*,hlas ahwi yi̋:g?,ᏝᏍ ᎠᏫ Ᏹg?
,hlasgo ahawi yi̋:gi,ᏝᏍᎪ ᎠᎭᏫ ᏱᎩ
*,hlgv̋ jigowhtí,ꮅᎬ ᏥᎪwᏘ
*,hlgv̋:ʔi jigowhtíha,ꮅᎬᎢ ᏥᎪwᏘᎭ
*,hluʔgv̋ jigowhtí,ᏡᎬ ᏥᎪwᏘ
*,hluʔgv̋:ʔi jigowhtíha,ᏡᎬᎢ ᏥᎪwᏘᎭ
*,hlv:daj,ᏢᏓj
,hlv:daji.,ᏢᏓᏥ.
,hlási,ᏝᏏ
,hlási.,ᏝᏏ.
*,hlʔgv̋ jigowhtí,ꮅᎬ ᏥᎪwᏘ
*,hlʔgv̋:ʔi jigowhtíha,ꮅᎬᎢ ᏥᎪwᏘᎭ
,hnadv:ne.,ᎿᏛᏁ.
,hnadv:neha.,ᎿᏛᏁᎭ.
,ho:lì:ga.,ᎰᎵᎦ.
,hohlga,ᎰꮅᎦ
,hohlgā,ᎰꮅᎦ
,howa,ᎰᏩ
,howa! ayv áhni!,ᎰᏩ! ᎠᏴ ᎠᏂ!
,howa.,ᎰᏩ.
,howa. dodada:go:hv̄ ani:chű:ja.,ᎰᏩ. ᏙᏓᏓᎪᎲ ᎠᏂᏧᏣ.
*,howa. go:hű:sd ő:sd,ᎰᏩ. ᎪᎱᏍd ᎣᏍd
,howa. go:hű:sdi ő:sda,ᎰᏩ. ᎪᎱᏍᏗ ᎣᏍᏓ
*,howa. gő:sd ő:sd,ᎰᏩ. ᎪᏍd ᎣᏍd
,howa. gő:sdi ő:sda,ᎰᏩ. ᎪᏍᏗ ᎣᏍᏓ
,hv:ʔ?,Ꮂ?
,hè:na,ᎮᎾ
,hé.,Ꭾ.
,hé:ga,ᎮᎦ
,hé:ga.,ᎮᎦ.
,hé:góʔi,ᎮᎪᎢ
,hì:neha.,ᎯᏁᎭ.
,hìsdǐ:gíʔa,ᎯᏍᏗᎩᎠ
,hìsdǐ:gî:sgó,ᎯᏍᏗᎩᏍᎪ
,hìsdǐ:gî:sgó:ʔi,ᎯᏍᏗᎩᏍᎪᎢ
,hídu:hvsgó,ᎯᏚᎲᏍᎪ
,hídu:hvsgó:ʔi,ᎯᏚᎲᏍᎪᎢ
,hílè:ga,ᎯᎴᎦ
,i:ga,ᎢᎦ
,i:ya ge:li̋ ù:nadu:lí.,ᎢᏯ ᎨᎵ ᎤᎾᏚᎵ.
,i:ya ge:li̋.,ᎢᏯ ᎨᎵ.
,i:ya ge:li̋:sgi ù:nadu:líha.,ᎢᏯ ᎨᎵᏍᎩ ᎤᎾᏚᎵᎭ.
,i:ya ge:li̋:sgi ù:nadu:líʔa.,ᎢᏯ ᎨᎵᏍᎩ ᎤᎾᏚᎵᎠ.
,i:ya ge:li̋:sgi.,ᎢᏯ ᎨᎵᏍᎩ.
,igv:yi̋ jalagi go:hwe:lv̋:ʔi.,ᎢᎬᏱ ᏣᎳᎩ ᎪᏪᎸᎢ.
,igv:yi̋ à:de:hlohgwà:sdi,ᎢᎬᏱ ᎠᏕᏠᏆᏍᏗ
,igv:yi̋.,ᎢᎬᏱ.
,igv:yi̋:ʔi jalagi go:hwe:lv̋:ʔi.,ᎢᎬᏱᎢ ᏣᎳᎩ ᎪᏪᎸᎢ.
,igv:yi̋:ʔi à:de:hlohgwà:sdi,ᎢᎬᏱᎢ ᎠᏕᏠᏆᏍᏗ
,igv:yi̋:ʔi.,ᎢᎬᏱᎢ.
,iií. ha:dlv goʔi?,ᎢᎢᎢ. ᎭᏢ ᎪᎢ?
,iií. u:hyv:dla gù:gu.,ᎢᎢᎢ. ᎤᏴᏜ ᎫᎫ.
*,ijé:ʔiyű:sdis yǒ:n?,ᎢᏤᎢᏳᏍᏗᏍ Ᏺn?
,ijé:ʔiyű:sdisgo yǒ:na?,ᎢᏤᎢᏳᏍᏗᏍᎪ ᏲᎾ?
,ijéʔiyű:sdi.,ᎢᏤᎢᏳᏍᏗ.
,inò:l,ᎢᏃꮅ
,inò:li.,ᎢᏃᎵ.
,i̋:ga,ᎢᎦ
,i̋:gi,ᎢᎩ
,i̋:na ale naʔv,ᎢᎾ ᎠᎴ ᎾᎥ
,ja:di:tasdi,ᏣᏗᏔᏍᏗ
,jada:do:hlísdi,ᏣᏓᏙᏟᏍᏗ
,jada:dohljv̌,ᏣᏓᏙꮅᏨ
,jada:dohljv̌:ʔi,ᏣᏓᏙꮅᏨᎢ
,jada:go:hv̌,ᏣᏓᎪᎲ
,jada:go:hv̌:ʔi,ᏣᏓᎪᎲᎢ
*,jada:gowhtv́hdi,ᏣᏓᎪwᏛᏗ
,jadadu:líha,ᏣᏓᏚᎵᎭ
,jadadǔ:la,ᏣᏓᏚᎳ
,jado:da,ᏣᏙᏓ
,jadu:lí.,ᏣᏚᎵ.
,jadu:líha.,ᏣᏚᎵᎭ.
,jadu:líʔa.,ᏣᏚᎵᎠ.
,jadv:hnv̌,ᏣᏛᏅ
,jadv:hnv̌:ʔi,ᏣᏛᏅᎢ
,jago:hv̌,ᏣᎪᎲ
,jago:hv̌:ʔi,ᏣᎪᎲᎢ
*,jagowhtv́hdi,ᏣᎪwᏛᏗ
*,jagowhtíha,ᏣᎪwᏘᎭ
*,jagowhtíha salǒ:li.,ᏣᎪwᏘᎭ ᏌᎶᎵ.
*,jagowhtǐ:sgó,ᏣᎪwᏘᏍᎪ
*,jagowhtǐ:sgóʔi,ᏣᎪwᏘᏍᎪᎢ
,jaha,ᏣᎭ
,jaha nǔ:na.,ᏣᎭ ᏄᎾ.
,jaha.,ᏣᎭ.
,jahv̌:ʔi,ᏣᎲᎢ
,jahyè:sdi,ᏣᏰᏍᏗ
,jahé:sdi,ᏣᎮᏍᏗ
,jahó:ʔi,ᏣᎰᎢ
,jaji,ᏣᏥ
,jakahv̌,ᏣᎧᎲ
,jakahv̌:ʔi,ᏣᎧᎲᎢ
,jakahé:sdi,ᏣᎧᎮᏍᏗ
,jakahó:ʔi,ᏣᎧᎰᎢ
*,jaktǒ:sdā,ᏣkᏙᏍᏓ
,jaká do:ya.,ᏣᎧ ᏙᏯ.
,jakáha do:ya.,ᏣᎧᎭ ᏙᏯ.
,jakáha.,ᏣᎧᎭ.
,jalv̀:sdi,ᏣᎸᏍᏗ
,jalv̂:sv̌,ᏣᎸᏒ
,jalv̂:sv̌:ʔi,ᏣᎸᏒᎢ
,jane:hé:sdi,ᏣᏁᎮᏍᏗ
,jane:hó,ᏣᏁᎰ
,jane:hó:ʔi,ᏣᏁᎰᎢ
,janehdi,ᏣᏁᏗ
*,janht.,Ꮳnt.
*,janhta,ᏣnᏔ
*,janhta.,ᏣnᏔ.
,janáv̌:ʔi,ᏣᎾᎥᎢ
,janáé:sdi,ᏣᎾᎡᏍᏗ
,janáó:ʔi,ᏣᎾᎣᎢ
,janáʔa,ᏣᎾᎠ
,janéʔa.,ᏣᏁᎠ.
,jayò:sǐ:sa,ᏣᏲᏏᏌ
,jayò:sǐ:sā,ᏣᏲᏏᏌ
,je:nv̀:sdi,ᏤᏅᏍᏗ
,je:nv́:sv̌,ᏤᏅᏒ
,je:nv́:sv̌:ʔi,ᏤᏅᏒᎢ
,ji:do:da,ᏥᏙᏓ
*,ji:gowhtv́hdi,ᏥᎪwᏛᏗ
*,ji:gowhtíha,ᏥᎪwᏘᎭ
,ji:ji,ᏥᏥ
*,ji:sd,ᏥᏍd
*,ji:sd age:hyű:j,ᏥᏍd ᎠᎨᏳj
*,ji:sd dà:giká,ᏥᏍd ᏓᎩᎧ
*,ji:sd dà:giká.,ᏥᏍd ᏓᎩᎧ.
,ji:sdu age:hyű:ja,ᏥᏍᏚ ᎠᎨᏳᏣ
,ji:sdu dà:gikáha,ᏥᏍᏚ ᏓᎩᎧᎭ
,ji:sdu dà:gikáha.,ᏥᏍᏚ ᏓᎩᎧᎭ.
,ji:sdu hla yijakáha.,ᏥᏍᏚ Ꮭ ᏱᏣᎧᎭ.
,ji:sdu.,ᏥᏍᏚ.
,ji:yadu:lv:hv̌,ᏥᏯᏚᎸᎲ
,ji:yadu:lv:hv̌:ʔi,ᏥᏯᏚᎸᎲᎢ
,ji:yadu:líha,ᏥᏯᏚᎵᎭ
,ji:yagà:tǒ:sdi,ᏥᏯᎦᏙᏍᏗ
,ji:yagà:tǒ:sdóhdi,ᏥᏯᎦᏙᏍᏙᏗ
,ji:yo:li:gó,ᏥᏲᎵᎪ
,ji:yo:li:gó:ʔi,ᏥᏲᎵᎪᎢ
,ji:yo:li:jv̌,ᏥᏲᎵᏨ
,ji:yo:li:jv̌:ʔi,ᏥᏲᎵᏨᎢ
,ji:yo:lì:ga.,ᏥᏲᎵᎦ.
,ji:yo:lí:sdi,ᏥᏲᎵᏍᏗ
,ji:yà:gà:tǒ:stánv̌,ᏥᏯᎦᏙᏍᏔᏅ
,ji:yà:gà:tǒ:stánv̌:ʔi,ᏥᏯᎦᏙᏍᏔᏅᎢ
*,jigowhtíha,ᏥᎪwᏘᎭ
*,jigowhtǐ:sgó,ᏥᎪwᏘᏍᎪ
*,jigowhtǐ:sgóʔi,ᏥᎪwᏘᏍᎪᎢ
,jigà:taha,ᏥᎦᏔᎭ
,jigà:tahó,ᏥᎦᏔᎰ
,jigà:tahó:ʔi,ᏥᎦᏔᎰᎢ
,jisdǐ:gā,ᏥᏍᏗᎦ
,jitade:gv̀:gā,ᏥᏔᏕᎬᎦ
*,jitǎ:g,ᏥᏔg
,jitǎ:ga.,ᏥᏔᎦ.
,jiwó:ni.,ᏥᏬᏂ.
,jiwó:niha.,ᏥᏬᏂᎭ.
,jiwó:niʔa.,ᏥᏬᏂᎠ.
,jiyagā,ᏥᏯᎦ
,jiyo,ᏥᏲ
,jiyé:sgó,ᏥᏰᏍᎪ
,jiyé:sgó:ʔi,ᏥᏰᏍᎪᎢ
,jiyé:ʔa,ᏥᏰᎠ
,jo gù:gu.,Ꮶ ᎫᎫ.
,jo nǔ:na,Ꮶ ᏄᎾ
,jo ǐ:ga̋ dě:dluhgv̋,Ꮶ ᎢᎦ ᏕᏡᎬ
,jo ǐ:ga̋ dě:hlgv̋,Ꮶ ᎢᎦ ᏕꮅᎬ
,jo ǐ:ga̋ dě:hluʔgv̋,Ꮶ ᎢᎦ ᏕᏡᎬ
,jo ǐ:ga̋ dě:hlʔgv̋,Ꮶ ᎢᎦ ᏕꮅᎬ
,jo.,Ꮶ.
,jo:hlísdi,ᏦᏟᏍᏗ
,johlga,ᏦꮅᎦ
,johlgā,ᏦꮅᎦ
,johljv̌,ᏦꮅᏨ
,johljv̌:ʔi,ᏦꮅᏨᎢ
*,joʔga:ʔd ani:ge:hyű:j áhni.,ᏦᎦd ᎠᏂᎨᏳj ᎠᏂ.
,joʔga:ʔdu ani:ge:hyű:ja áhani.,ᏦᎦᏚ ᎠᏂᎨᏳᏣ ᎠᎭᏂ.
,joʔi gù:gu.,ᏦᎢ ᎫᎫ.
,joʔi nǔ:na,ᏦᎢ ᏄᎾ
,joʔi ǐ:ga̋ dě:dluhgv̋:ʔi,ᏦᎢ ᎢᎦ ᏕᏡᎬᎢ
,joʔi ǐ:ga̋ dě:hlgv̋:ʔi,ᏦᎢ ᎢᎦ ᏕꮅᎬᎢ
,joʔi ǐ:ga̋ dě:hluʔgv̋:ʔi,ᏦᎢ ᎢᎦ ᏕᏡᎬᎢ
,joʔi ǐ:ga̋ dě:hlʔgv̋:ʔi,ᏦᎢ ᎢᎦ ᏕꮅᎬᎢ
,joʔi.,ᏦᎢ.
,joʔi:ne̋ jalagi go:hwe:lv̋:ʔi.,ᏦᎢᏁ ᏣᎳᎩ ᎪᏪᎸᎢ.
*,joʔi:ne̋ nohj,ᏦᎢᏁ Ꮓj
,joʔi:ne̋.,ᏦᎢᏁ.
,joʔi:ne̋:ʔi jalagi go:hwe:lv̋:ʔi.,ᏦᎢᏁᎢ ᏣᎳᎩ ᎪᏪᎸᎢ.
,joʔi:ne̋:ʔi nohji,ᏦᎢᏁᎢ ᏃᏥ
,joʔi:ne̋:ʔi.,ᏦᎢᏁᎢ.
,joʔsgǒ:hi,ᏦᏍᎪᎯ
,ju:di:tasdi,ᏧᏗᏔᏍᏗ
,ju:galǒ.,ᏧᎦᎶ.
,ju:galǒ:ga.,ᏧᎦᎶᎦ.
*,ju:gowhtv́hdi,ᏧᎪwᏛᏗ
*,ju:ktǒ:sdóhdi,ᏧkᏙᏍᏙᏗ
,ju:liʔi,ᏧᎵᎢ
*,ju:là:sg,ᏧᎳᏍg
,ju:là:sgi.,ᏧᎳᏍᎩ.
,ju:lì:sdana:l,ᏧᎵᏍᏓᎾꮅ
,ju:lì:sdana:li.,ᏧᎵᏍᏓᎾᎵ.
*,ju:natvhisd.,ᏧᎾᏛᎯᏍd.
,ju:natvhisdv.,ᏧᎾᏛᎯᏍᏛ.
,ju:ne̋:ga dě:dluhgv̋:ʔi,ᏧᏁᎦ ᏕᏡᎬᎢ
,ju:ne̋:ga dě:hlgv̋:ʔi,ᏧᏁᎦ ᏕꮅᎬᎢ
,ju:ne̋:ga dě:hluʔgv̋:ʔi.,ᏧᏁᎦ ᏕᏡᎬᎢ.
,ju:ne̋:ga dě:hlʔgv̋:ʔi.,ᏧᏁᎦ ᏕꮅᎬᎢ.
,ju:ni:là:wisdi gé.,ᏧᏂᎳᏫᏍᏗ Ꭸ.
,ju:ni:là:wisdi gé:ga u:li:he:lísdi.,ᏧᏂᎳᏫᏍᏗ ᎨᎦ ᎤᎵᎮᎵᏍᏗ.
,ju:ni:là:wisdi gé:ga u:nali:he:lísdi.,ᏧᏂᎳᏫᏍᏗ ᎨᎦ ᎤᎾᎵᎮᎵᏍᏗ.
,ju:ni:là:wisdi gé:ga.,ᏧᏂᎳᏫᏍᏗ ᎨᎦ.
,ju:ni:là:wisdi à:né:ga u:nali:he:lísdi.,ᏧᏂᎳᏫᏍᏗ ᎠᏁᎦ ᎤᎾᎵᎮᎵᏍᏗ.
,ju:ni:là:wisdi.,ᏧᏂᎳᏫᏍᏗ.
,ju:ni:lì:sdana:l,ᏧᏂᎵᏍᏓᎾꮅ
,ju:ni:lì:sdana:li.,ᏧᏂᎵᏍᏓᎾᎵ.
*,ju:no:dű ani:ge:hyű:j anili:hě:lî:ga.,ᏧᏃᏚ ᎠᏂᎨᏳj ᎠᏂᎵᎮᎵᎦ.
,ju:no:dű:ʔi ani:ge:hyű:ja anili:hě:lî:ga.,ᏧᏃᏚᎢ ᎠᏂᎨᏳᏣ ᎠᏂᎵᎮᎵᎦ.
*,ju:nsdi̋.,ᏧnᏍᏗ.
,ju:nǒ:díge̋ gi:hli,ᏧᏃᏗᎨ ᎩᏟ
,ju:sdǐ:gî:sdi,ᏧᏍᏗᎩᏍᏗ
,ju:tǔ:gî:sdi,ᏧᏚᎩᏍᏗ
,ju:wa:kóhdi,ᏧᏩᎪᏗ
